Object Distance	Wheel Speed	Humidity	Precipitation Level	Temperature	GPS Speed	Gate
2000	1000	60	4	30	100	TRUE
1000	1500	50	3	30	100	FALSE
999	2000	40	2	40	100	TRUE
998	3000	40	2	40	100	TRUE
993	1000	40	2	40	100	FALSE
990	1500	40	2	50	100	FALSE
2000	1700	40	2	70	100	FALSE
733	900	40	2	70	100	TRUE
200	900	40	0	10	100	TRUE
2000	900	40	0	5	100	FALSE
700	800	60	0	3	100	FALSE
600	1500	50	0	5	100	TRUE
500	1000	40	0	7	100	TRUE
400	600	80	0	90	100	FALSE
300	600	70	5	100	150	FALSE
200	600	70	5	34	150	FALSE
3	500	90	5	35	150	TRUE
600	2000	100	5	225	150	FALSE
1000	1500	50	7	13	150	FALSE
999	1500	40	2	47	150	FALSE
